axis,event_id,level,start_time,end_time,duration_sec,peak_residual,mean_residual,area_above_baseline
Axis #8,A0016,ALERT,2022-10-17 17:58:38.404000+00:00,2022-10-17 17:58:55.842000+00:00,17.438,0.4974226773602908,0.4519468440787855,7.713865252507795
Axis #8,A0017,ALERT,2022-10-17 18:05:40.072000+00:00,2022-10-17 18:05:57.229000+00:00,17.157,0.4135176068303681,0.390094198067518,6.706316564646062
Axis #8,A0018,ALERT,2022-10-17 18:09:15.215000+00:00,2022-10-17 18:09:42.075000+00:00,26.86,0.49897123620699235,0.4469978798746909,12.189818216479978
Axis #8,A0019,ALERT,2022-10-17 18:10:56.077000+00:00,2022-10-17 18:11:01.817000+00:00,5.74,0.4366043610504424,0.42345601177910197,2.134844120199496
Axis #8,A0020,ALERT,2022-10-17 18:13:04.952000+00:00,2022-10-17 18:13:31.707000+00:00,26.755,0.5406227006870015,0.46143871783122836,12.609520560358874
Axis #8,A0021,ALERT,2022-10-17 18:14:05.514000+00:00,2022-10-17 18:14:32.042000+00:00,26.528,0.47064697539137235,0.4155082346793524,11.275628418964796
Axis #8,A0022,ALERT,2022-10-17 18:29:10.676000+00:00,2022-10-17 18:29:23.981000+00:00,13.305,0.386878809517643,0.37250537985946097,4.879252021721677
Axis #8,A0023,ALERT,2022-10-17 18:57:43.941000+00:00,2022-10-17 18:57:59.141000+00:00,15.2,0.4469698579075594,0.42033044178857365,6.78801005898217
Axis #8,A0024,ALERT,2022-10-17 20:02:30.419000+00:00,2022-10-17 20:02:41.866000+00:00,11.447,0.4264285241744229,0.4020763749095718,4.41631027179231
Axis #8,A0025,ALERT,2022-10-17 20:13:01.793000+00:00,2022-10-17 20:13:07.622000+00:00,5.829,0.40916324814601246,0.38420160857734165,2.3090600832333443
Axis #8,A0026,ALERT,2022-10-17 20:48:16.794000+00:00,2022-10-17 20:48:24.487000+00:00,7.693,0.37226951439499284,0.3654393426517286,2.9338066287756552
Axis #8,A0027,ALERT,2022-10-17 21:22:02.582000+00:00,2022-10-17 21:22:21.768000+00:00,19.186,0.45043046608778936,0.42007635767468954,8.031404107498936
Axis #8,A0028,ALERT,2022-10-17 21:40:57.839000+00:00,2022-10-17 21:41:18.648000+00:00,20.809,0.5611975409062905,0.497341151526085,10.43528760301916
Axis #8,A0029,ALERT,2022-10-17 21:41:41.296000+00:00,2022-10-17 21:41:53.075000+00:00,11.779,0.42014694881948167,0.3944723658682672,4.79121253009367
Axis #8,A0030,ALERT,2022-10-17 22:46:20.509000+00:00,2022-10-17 22:46:35.888000+00:00,15.379,0.4313986207642557,0.4122698413805393,6.2057151284371415
Axis #8,A0031,ALERT,2022-10-17 23:00:03.561000+00:00,2022-10-17 23:00:09.354000+00:00,5.793,0.36644972184630004,0.3629125286910472,2.184549388460121
Axis #8,A0032,ALERT,2022-10-17 23:11:28.268000+00:00,2022-10-17 23:11:47.440000+00:00,19.172,0.4356310255198711,0.4045964681624689,7.752916839602378
Axis #8,A0033,ALERT,2022-10-17 23:16:59.268000+00:00,2022-10-17 23:17:22.491000+00:00,23.223,0.5035040324367861,0.45167950289199243,10.43108476952413
Axis #8,A0034,ALERT,2022-10-17 23:23:57.672000+00:00,2022-10-17 23:24:19.042000+00:00,21.37,0.5860188655115586,0.515597756663711,11.501897476059632
Axis #8,A0035,ALERT,2022-10-17 23:42:44.026000+00:00,2022-10-17 23:42:53.512000+00:00,9.486,0.42639374238427374,0.4025504762494223,3.6139297335256666
Axis #8,A0036,ALERT,2022-10-17 23:45:30.966000+00:00,2022-10-17 23:45:44.459000+00:00,13.493,0.48181591195684625,0.44298224493248556,6.2540530238896155
Axis #8,A0037,ALERT,2022-10-17 23:50:16.144000+00:00,2022-10-17 23:50:23.713000+00:00,7.569,0.568071170830556,0.5221648124547165,3.6678669298380537
Axis #8,A0038,ALERT,2022-10-17 23:50:46.253000+00:00,2022-10-17 23:51:15.092000+00:00,28.839,0.5575768139308909,0.5409640133716356,15.67903785053259
Axis #8,A0039,ALERT,2022-10-17 23:57:09.712000+00:00,2022-10-17 23:57:34.771000+00:00,25.059,0.5321938414953724,0.4891902411469405,12.419926301628514
Axis #8,A0040,ALERT,2022-10-18 00:08:12.221000+00:00,2022-10-18 00:08:27.528000+00:00,15.307,0.6059980083095445,0.5272021202308496,7.9654755771343595
Axis #8,A0041,ALERT,2022-10-18 00:08:33.721000+00:00,2022-10-18 00:08:41.299000+00:00,7.578,0.4502857018933252,0.40649272492941807,3.2567510591485416
Axis #8,A0042,ALERT,2022-10-18 00:20:37.300000+00:00,2022-10-18 00:20:44.973000+00:00,7.673,0.47222508574335054,0.43491858526634974,3.028837722474395
Axis #8,A0043,ALERT,2022-10-18 00:56:01.779000+00:00,2022-10-18 00:56:17.095000+00:00,15.316,0.427529838046405,0.4055564556293194,6.510389795242985
Axis #8,A0044,ALERT,2022-10-18 00:56:54.795000+00:00,2022-10-18 00:57:00.580000+00:00,5.785,0.396905504530652,0.3802118873055798,2.284337691466857
Axis #8,A0045,ALERT,2022-10-18 00:57:06.284000+00:00,2022-10-18 00:57:15.690000+00:00,9.406,0.39833013511413284,0.38425169733448444,3.4561998448808136
Axis #8,A0046,ALERT,2022-10-18 01:12:53.837000+00:00,2022-10-18 01:13:09.360000+00:00,15.523,0.4890179785831049,0.43447660173039765,6.971304535426783
